,evals,X,fX
20,20,"[0.20886971 0.40172711 0.59238845 0.28572403 0.27514831 0.7223842
 0.45877835 0.44289855 0.77268846 0.01708779 0.04826417 0.55625517
 0.53614163 0.08092793 0.34609261 0.89883767 0.91919095 0.54836052
 0.37374741 0.04462209 0.38167236 0.24106178 0.07273116 0.03055834
 0.37660604 0.8776797  0.45875591 0.70179012 0.54507086 0.59765236
 0.87174015 0.17925499 0.61494845 0.00307649 0.49167339 0.33115122
 0.13425384 0.86343151 0.44640511 0.19756438 0.94834593 0.08963596
 0.30740972 0.49796681 0.23598403 0.10371275 0.54859861 0.30597807
 0.56818509 0.74998073 0.20481775 0.58694988 0.89599408 0.24484457
 0.93519607 0.70325505 0.6397846  0.8647773  0.81369676 0.95061303]",[3.57786574]
21,21,"[0.20886971 0.11989955 0.49198118 0.28572403 0.07651413 0.7223842
 0.48263402 0.44289855 0.98279427 0.24688829 0.04826417 0.55625517
 0.53614163 0.08092793 0.22865163 0.60942505 0.80521368 0.25132404
 0.73598542 0.24408554 0.01430256 0.38444227 0.07273116 0.44210101
 0.37660604 0.8776797  0.34256122 0.6925862  0.54507086 0.59765236
 0.87174015 0.17925499 0.823537   0.00307649 0.04219121 0.11579614
 0.13425384 0.86343151 0.44544036 0.00835883 0.94834593 0.25195049
 0.30740972 0.49796681 0.23598403 0.10371275 0.54859861 0.40567607
 0.70425245 0.74998073 0.20481775 0.58694988 0.75788584 0.43196282
 0.78375404 0.78421586 0.6397846  0.8647773  0.36754209 0.94549387]",[2.14006547]
22,22,"[0.10177265 0.44891283 0.79633145 0.28572403 0.07651413 0.88598824
 0.5435784  0.7453383  0.51937771 0.20478454 0.41553316 0.55625517
 0.50122154 0.08092793 0.5014633  0.93839643 0.91919095 0.25132404
 0.37374741 0.24408554 0.01430256 0.38444227 0.35540243 0.38387958
 0.12111224 0.77763594 0.10677178 0.31637935 0.54507086 0.59765236
 0.87174015 0.17925499 0.61494845 0.50881949 0.06045434 0.5427963
 0.12141352 0.86343151 0.44544036 0.17187149 0.94834593 0.25195049
 0.30740972 0.53098425 0.23116041 0.14182533 0.54859861 0.0831295
 0.96794692 0.74998073 0.20481775 0.83292581 0.99402296 0.24484457
 0.89840015 0.83595362 0.6397846  0.70477146 0.78085166 0.94747807]",[3.45040751]
23,23,"[0.10177265 0.5407373  0.96370431 0.28572403 0.47561855 0.52551972
 0.48263402 0.44289855 0.51937771 0.20478454 0.04826417 0.07240025
 0.53614163 0.08092793 0.50504339 0.93839643 0.96303711 0.25132404
 0.37374741 0.24408554 0.01430256 0.04268485 0.37919316 0.15439728
 0.32221771 0.77763594 0.3851555  0.51515511 0.54507086 0.80620518
 0.87174015 0.17925499 0.61494845 0.54661885 0.11619127 0.63244043
 0.15719624 0.55484985 0.44544036 0.03730509 0.94834593 0.25195049
 0.30740972 0.18979385 0.23116041 0.10371275 0.54859861 0.40567607
 0.87761494 0.74998073 0.20481775 0.58694988 0.77810662 0.24484457
 0.93519607 0.83392934 0.43585237 0.70477146 0.50917762 0.94747807]",[7.31289399]
24,24,"[0.10177265 0.0334619  0.91484322 0.28572403 0.07651413 0.52551972
 0.48263402 0.44289855 0.41867399 0.20478454 0.26090355 0.55625517
 0.53614163 0.60315164 0.28990832 0.93839643 0.68167512 0.25132404
 0.82648442 0.14516828 0.01430256 0.38444227 0.21469952 0.32844492
 0.44462696 0.77763594 0.3851555  0.98168515 0.97073559 0.59765236
 0.87174015 0.65034788 0.61494845 0.04251137 0.04219121 0.33115122
 0.12141352 0.86343151 0.44544036 0.17187149 0.71916831 0.67499655
 0.30740972 0.03281157 0.16715872 0.10371275 0.54859861 0.40567607
 0.96794692 0.74998073 0.30962493 0.58694988 0.90467227 0.24484457
 0.93519607 0.83595362 0.6397846  0.4709024  0.78085166 0.94791405]",[-6.99405487]
25,25,"[0.10177265 0.5407373  0.96370431 0.28572403 0.07651413 0.52551972
 0.53889806 0.44289855 0.51937771 0.20478454 0.05353614 0.60660982
 0.53614163 0.08092793 0.5014633  0.91716188 0.53251064 0.25132404
 0.37374741 0.24408554 0.01430256 0.38444227 0.21469952 0.6385607
 0.32221771 0.77763594 0.3851555  0.51515511 0.54507086 0.59765236
 0.92061867 0.17925499 0.61494845 0.04251137 0.06966191 0.33115122
 0.10418459 0.75759397 0.44544036 0.71128721 0.94834593 0.25195049
 0.30740972 0.18979385 0.23116041 0.10371275 0.54859861 0.40567607
 0.8157218  0.97800415 0.49360573 0.58694988 0.62445864 0.24484457
 0.78912552 0.83595362 0.6397846  0.70477146 0.78085166 0.94747807]",[3.01112295]
26,26,"[0.10177265 0.2777479  0.96370431 0.28572403 0.07651413 0.30995494
 0.48263402 0.44289855 0.69883519 0.69909938 0.04826417 0.55625517
 0.76540095 0.39611968 0.5014633  0.93839643 0.91919095 0.34792453
 0.24270823 0.24408554 0.03655392 0.38444227 0.25328435 0.15439728
 0.32221771 0.77763594 0.13059241 0.51515511 0.54507086 0.51963383
 0.87174015 0.48866474 0.61494845 0.04251137 0.31168352 0.33115122
 0.11902131 0.86343151 0.44544036 0.46777839 0.7052421  0.25195049
 0.30740972 0.18979385 0.18322018 0.08574761 0.54859861 0.40567607
 0.83813162 0.74998073 0.20481775 0.4172896  0.55037993 0.24484457
 0.93519607 0.83595362 0.88432461 0.70477146 0.78085166 0.92980678]",[-0.94430818]
27,27,"[0.06252811 0.5407373  0.96370431 0.28572403 0.07651413 0.52551972
 0.48263402 0.44289855 0.51937771 0.20478454 0.13963946 0.20646963
 0.53614163 0.08092793 0.70502687 0.93839643 0.91919095 0.5145885
 0.66184964 0.24408554 0.01430256 0.19393858 0.21469952 0.15439728
 0.0896362  0.77763594 0.3851555  0.81473888 0.17135807 0.93527827
 0.87174015 0.17925499 0.61494845 0.04136116 0.04219121 0.33115122
 0.14977705 0.86343151 0.43592124 0.17187149 0.94834593 0.04330697
 0.30740972 0.18979385 0.16736997 0.10371275 0.54859861 0.40567607
 0.96794692 0.74998073 0.31727008 0.58694988 0.86371085 0.24484457
 0.63483272 0.83595362 0.6397846  0.70477146 0.78085166 0.92604426]",[2.44877315]
28,28,"[0.10177265 0.5407373  0.45083718 0.28572403 0.07651413 0.52551972
 0.48263402 0.28286829 0.50104958 0.20478454 0.04826417 0.55625517
 0.53614163 0.24478618 0.7623769  0.93839643 0.91919095 0.25132404
 0.37374741 0.24408554 0.01430256 0.38444227 0.7401932  0.30903681
 0.32221771 0.77763594 0.3851555  0.15352573 0.54507086 0.59765236
 0.87174015 0.17925499 0.82578611 0.04251137 0.04219121 0.33115122
 0.09335055 0.86343151 0.44544036 0.38802041 0.94834593 0.46302373
 0.30740972 0.18979385 0.23116041 0.05397893 0.51896302 0.40567607
 0.81527436 0.74998073 0.20481775 0.20184302 0.99402296 0.24484457
 0.93519607 0.83595362 0.37133128 0.70477146 0.78085166 0.94747807]",[1.9189472]
29,29,"[0.10177265 0.60837723 0.96370431 0.32810684 0.41782938 0.52551972
 0.48263402 0.44289855 0.51937771 0.20478454 0.04826417 0.55625517
 0.6124391  0.59009808 0.5014633  0.93839643 0.91919095 0.25132404
 0.37374741 0.24408554 0.22015019 0.38444227 0.21469952 0.15439728
 0.32221771 0.77763594 0.3851555  0.51515511 0.54507086 0.59765236
 0.66273846 0.17925499 0.61494845 0.04251137 0.04219121 0.03125852
 0.12141352 0.86343151 0.44544036 0.51605084 0.7676659  0.25195049
 0.20720816 0.18979385 0.08155665 0.10371275 0.54859861 0.40567607
 0.77995749 0.8701293  0.2938779  0.58694988 0.86782089 0.24484457
 0.93519607 0.83595362 0.28705195 0.71366527 0.75719033 0.95994241]",[2.33049851]
