,evals,X,fX
72,72,"[ 0.16689761  0.37498606  0.70282418  0.13643376  0.37765441 -0.3495626
  0.14571769  0.79408341 -0.6988338  -0.195126  ]",[3.50363369]
73,73,"[ 0.2987658   0.1670682   0.30514584  0.16174603 -0.09103151 -0.34181985
  0.32154551  0.37596886 -0.76358506  0.43007174]",[3.26830806]
74,74,"[-0.11792993 -0.23117411  0.34716197 -0.08636812  0.30344091 -0.87571975
  0.23103969  0.19484936 -0.70898534  0.22130278]",[3.09056805]
75,75,"[-0.11250989  0.3882307   0.58842305  0.11411753  0.34820868 -0.61910694
 -0.3630127   0.00711645 -0.72101913  0.01308944]",[3.31642986]
76,76,"[-0.16100569 -0.1074159   0.49825002  0.17288927  0.60409891 -0.7754856
  0.35127005 -0.06035389 -0.79588308 -0.43867954]",[3.53893557]
77,77,"[ 0.03477397 -0.2370394   0.60670538 -0.46526574  0.2878498  -0.7041651
 -0.39711226  0.43237846 -0.77134957  0.24575186]",[3.7591496]
78,78,"[-0.38389793 -0.32631092  0.36301364  0.10084351 -0.19759488 -0.29418403
  0.30739383  0.77452999 -0.82269707  0.28203788]",[3.50973581]
79,79,"[-0.048676    0.08222448  0.56689471 -0.11931396  0.58464687 -0.5923634
  0.09084791  0.27701081 -0.80069718  0.00715539]",[3.11676554]
80,80,"[ 0.02596709  0.37918013  0.37048797 -0.24498594  0.3327353  -1.01006828
  0.25980112  0.10069772 -0.75885529  0.11671577]",[3.30611336]
81,81,"[-0.30876352  0.1661527   0.80299782 -0.04942646  0.47617753 -0.61392966
  0.25950745  0.10629828 -1.26774492 -0.22934294]",[3.7867846]
82,82,"[ 0.11760681  0.01367243  0.53572245 -0.3865251   0.08754223 -0.8746843
  0.03965162  0.01133595 -1.03522197  0.10546568]",[2.85265667]
83,83,"[ 0.2065234   0.22396221  0.68369575 -0.15549761 -0.07985417 -0.92495179
 -0.27060618  0.24038698 -0.97422403 -0.06727652]",[3.11299367]
84,84,"[ 0.06163636  0.14433387  0.57980813 -0.05834041 -0.00421231 -0.90377379
  0.06259445  0.34679686 -0.91591007 -0.33786839]",[3.02287272]
85,85,"[ 0.21214425  0.05205085  0.49418854 -0.0834463  -0.05720256 -0.74779639
  0.02260957  0.05707431 -0.99029701  0.05833142]",[2.57522591]
86,86,"[-0.07338083 -0.06039883  0.53631274 -0.39431172  0.40167007 -0.59947978
  0.01332948  0.21816788 -0.92771463 -0.00168708]",[3.21473025]
87,87,"[-0.03052444 -0.06661562  0.70304352 -0.15954239  0.4126915  -0.71179254
 -0.19947438  0.09652416 -1.05016304 -0.44778072]",[3.39635462]
88,88,"[-0.11591769  0.20886263  0.69460332 -0.15293007  0.26790603 -0.85936509
  0.09425466  0.2528091  -0.91347914  0.11689945]",[3.02849794]
89,89,"[-0.01364109 -0.08630295  0.48791324 -0.11621367  0.34465082 -0.58317396
 -0.15992305  0.17249063 -1.08026794 -0.10164173]",[3.07853195]
90,90,"[ 0.08025391  0.26115071  0.65199164 -0.16748386  0.35445719 -0.56316052
 -0.13339426 -0.03509784 -1.01479032 -0.34195687]",[3.34708667]
91,91,"[-0.0384932   0.2775462   0.66893686 -0.18602199  0.37928411 -0.79133589
 -0.00174621 -0.0086913  -1.26649234 -0.05032365]",[3.41226601]
92,92,"[ 0.24697419 -0.13644059  0.33723881 -0.26414591  0.14868098 -0.7752439
  0.1386211  -0.01465859 -0.77864792  0.09368156]",[2.80452153]
93,93,"[ 0.06390236  0.19081198  0.35990576  0.03600319 -0.08361797 -0.51880418
 -0.17577518 -0.01957504 -0.91876948  0.0470029 ]",[2.51221159]
94,94,"[ 0.38306349 -0.11664371  0.45529425  0.03732027  0.0800292  -0.78422668
 -0.20984628 -0.07086042 -0.85290746  0.36936151]",[3.14637624]
95,95,"[ 0.35712479  0.25903401  0.34766801 -0.25876338 -0.12101141 -0.46684538
 -0.09651479  0.17834143 -0.78340249  0.11128763]",[3.03171247]
96,96,"[ 0.07223379 -0.12423794  0.59302335  0.09659145 -0.26389905 -0.78651678
 -0.00248194  0.20709915 -0.80338464  0.12934386]",[2.83967037]
97,97,"[ 0.12670974 -0.08460485  0.57119634  0.12158797  0.17847145 -0.58604913
 -0.15228197 -0.01730658 -0.78193966 -0.15796963]",[2.77252037]
98,98,"[ 0.25613066 -0.14835476  0.67881123 -0.19798301 -0.10032934 -0.82309368
 -0.01346547  0.34849685 -0.81721285  0.0497787 ]",[3.04115279]
99,99,"[ 0.24142696 -0.06124006  0.38521955  0.03431056 -0.16577993 -0.59990151
  0.03259803 -0.18962466 -1.07571899  0.03503173]",[2.83363765]
100,100,"[ 0.26058308 -0.18920533  0.66658768 -0.28226632  0.18402812 -1.04225682
  0.15946675  0.24392116 -0.85189246  0.10918414]",[3.30770552]
101,101,"[ 0.27637711 -0.10975325  0.4649667   0.08366717  0.1866211  -0.73140168
  0.25965616  0.16843659 -0.76936049  0.14151398]",[3.03587055]
